metric_name,value,session_id,chunk_index,is_final,audio_data_size
progressive_chunk_emit_ms,1778526902919.7998,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,0,,
progressive_chunk_playback_arrival_ms,1778526904982.6685,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,0,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,0,,
progressive_chunk_emit_ms,1778526905545.0122,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,1,,
progressive_chunk_playback_arrival_ms,1778526907422.3337,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,1,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,1,,
progressive_chunk_emit_ms,1778526909549.2952,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,2,,
progressive_chunk_playback_arrival_ms,1778526911472.9958,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,2,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,2,,
progressive_chunk_emit_ms,1778526913652.9475,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,3,,
progressive_chunk_playback_arrival_ms,1778526915532.1714,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,3,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,3,,
progressive_chunk_emit_ms,1778526916782.6763,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,4,,
progressive_chunk_playback_arrival_ms,1778526918702.848,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,4,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,4,,
progressive_chunk_emit_ms,1778526919882.1992,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,5,,
progressive_chunk_playback_arrival_ms,1778526921762.683,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,5,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,5,,
progressive_chunk_emit_ms,1778526922857.1848,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,6,,
progressive_chunk_playback_arrival_ms,1778526924732.946,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,6,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,6,,
progressive_chunk_emit_ms,1778526926343.025,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,7,,
progressive_chunk_playback_arrival_ms,1778526928262.0876,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,7,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,7,,
progressive_chunk_emit_ms,1778526930496.9443,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,8,,
progressive_chunk_emit_ms,1778526931799.0044,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,9,,
progressive_chunk_playback_arrival_ms,1778526932372.146,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,8,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,8,,
first_chunk_latency_ms,5694.292068481445,e7a3ab4c-04aa-4f0a-af11-f5541d69c69a,,,
