metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788280341430.1213,,,,
ttfa_talker_thread_start_ms,1788280341431.6355,,,,
ttfa_first_decode_step_ms,1788280344961.748,,,,
ttfa_first_chunk_emit_ms,1788280345706.059,,,,
ttfa_first_decode_complete_ms,1788280345878.1226,no-registry,0,,
progressive_chunk_emit_ms,1788280345879.1252,,0,,
first_chunk_latency_ms,4449.0039348602295,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788280357541.4639,90bef85b-2400-4380-99c0-a9bd9f0d4678,,,
ttfa_talker_thread_start_ms,1788280357541.9683,90bef85b-2400-4380-99c0-a9bd9f0d4678,,,
ttfa_first_decode_step_ms,1788280357756.299,90bef85b-2400-4380-99c0-a9bd9f0d4678,,,
ttfa_first_chunk_emit_ms,1788280358767.39,90bef85b-2400-4380-99c0-a9bd9f0d4678,,,
ttfa_first_decode_complete_ms,1788280358854.2637,90bef85b-2400-4380-99c0-a9bd9f0d4678,0,,
progressive_chunk_emit_ms,1788280358854.2637,90bef85b-2400-4380-99c0-a9bd9f0d4678,0,,
ttfa_first_playback_write_ms,1788280358873.4111,90bef85b-2400-4380-99c0-a9bd9f0d4678,0,,
first_chunk_latency_ms,1312.7999305725098,90bef85b-2400-4380-99c0-a9bd9f0d4678,,,
progressive_chunk_playback_arrival_ms,1788280360768.0356,90bef85b-2400-4380-99c0-a9bd9f0d4678,0,False,43605
progressive_chunk_audio_duration_ms,1816.875,90bef85b-2400-4380-99c0-a9bd9f0d4678,0,,
