metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788321862808.81,,,,
ttfa_talker_thread_start_ms,1788321863436.3176,,,,
ttfa_first_decode_step_ms,1788321867430.9922,,,,
ttfa_first_chunk_emit_ms,1788321868152.7158,,,,
ttfa_first_decode_complete_ms,1788321868227.0354,no-registry,0,,
progressive_chunk_emit_ms,1788321868227.535,,0,,
first_chunk_latency_ms,5418.72501373291,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788321870280.0906,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,,,
ttfa_talker_thread_start_ms,1788321870282.09,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,,,
ttfa_first_decode_step_ms,1788321870372.133,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,,,
ttfa_first_chunk_emit_ms,1788321871497.3142,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,,,
ttfa_first_decode_complete_ms,1788321871622.6804,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,0,,
progressive_chunk_emit_ms,1788321871622.6804,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,0,,
ttfa_first_playback_write_ms,1788321871644.531,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,0,,
progressive_chunk_emit_ms,1788321872789.809,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,1,,
progressive_chunk_playback_arrival_ms,1788321873708.7197,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,0,,
progressive_chunk_emit_ms,1788321873918.099,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,2,,
progressive_chunk_emit_ms,1788321875094.2148,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,3,,
progressive_chunk_playback_arrival_ms,1788321875758.9827,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,1,,
progressive_chunk_emit_ms,1788321876286.325,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,4,,
progressive_chunk_emit_ms,1788321877474.639,e5a0eebd-ac37-4477-9dc7-4cd2f1ebc9cc,5,,
