run_index,first_chunk_latency_ms,session_id,is_cold_compile
1,6154.569387435913,96757b13-c192-4176-8841-b48d711dfb74,yes
2,5879.100322723389,7f44b126-fb65-4dc1-93ef-72b59234fe24,no
3,5929.361820220947,f501c395-6ac8-4b0c-8d02-2f1f506a606c,no
4,6072.857618331909,86be010f-a03a-42a7-8d12-2a99c18fe827,no
5,5889.262676239014,3a898024-d0bf-45b5-98f8-afcc97c3d5d6,no
6,5721.296548843384,aa6777d1-a9ac-4728-bfce-6727c20b7226,no
7,6034.08145904541,1e403846-1a1e-4024-8bd0-3d2b176facc1,no
8,5956.182241439819,05499b70-1eb0-4ffd-8a5f-607d18aa233c,no
9,5957.9925537109375,97af86c4-982d-4804-9d2b-4a6c50938bf2,no
10,5887.2880935668945,4bbe164b-3ef3-46b2-93c2-0a4578c26214,no
