metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788280309884.2861,,,,
ttfa_talker_thread_start_ms,1788280309885.793,,,,
ttfa_first_decode_step_ms,1788280313467.349,,,,
ttfa_first_chunk_emit_ms,1788280314289.943,,,,
ttfa_first_decode_complete_ms,1788280314462.634,no-registry,0,,
progressive_chunk_emit_ms,1788280314463.1367,,0,,
first_chunk_latency_ms,4578.850507736206,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788280322940.5208,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,,,
ttfa_talker_thread_start_ms,1788280322942.028,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,,,
ttfa_first_decode_step_ms,1788280323154.6091,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,,,
ttfa_first_chunk_emit_ms,1788280324304.707,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,,,
ttfa_first_decode_complete_ms,1788280324394.7327,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,0,,
progressive_chunk_emit_ms,1788280324394.7327,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,0,,
ttfa_first_playback_write_ms,1788280324414.3284,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,0,,
first_chunk_latency_ms,1454.211950302124,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,,,
progressive_chunk_playback_arrival_ms,1788280326479.772,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,7d09a4bc-ee57-4ff9-9388-35614c2e71e8,0,,
