run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,8109.83056640625,4386.027099609375,3723.803466796875,1096.58154296875,182.272705078125,0.0,0.0,9388.684749603271,9388.684814453125,17,1,threshold,20,733.497802734375,1182.6666666666667,0.6202067103165515,1.6123656570719838,9388.684814453125,0.0,19299.541666666668,20411.266803741455,True,15,long,auto,auto
0,82.579833984375,0.5029296875,82.076904296875,936.086181640625,76.951171875,0.0,0.0,1095.6172943115234,1095.6171875,17,1,threshold,20,731.873046875,1182.6666666666667,0.618832903220124,1.6159451037533015,1095.6171875,0.0,19459.541666666668,12218.064546585083,False,15,long,auto,auto
1,81.896728515625,1.003662109375,80.89306640625,909.549560546875,98.641845703125,1.00341796875,0.0,1090.088129043579,1090.088134765625,16,1,threshold,20,735.428466796875,1182.6666666666667,0.6218391771112246,1.6081328369266386,1090.088134765625,0.0,19076.875,12131.728410720825,False,15,long,auto,auto
2,81.47314453125,1.00341796875,80.4697265625,901.166748046875,78.011962890625,1.0029296875,0.0,1060.6517791748047,1060.65185546875,17,1,threshold,20,757.201904296875,1182.6666666666667,0.6402496372296012,1.5618907717418793,1060.65185546875,0.0,20019.541666666668,13123.430967330933,False,15,long,auto,auto
3,92.785888671875,0.504150390625,92.28173828125,929.863037109375,71.646728515625,0.0,0.0,1094.2957401275635,1094.295654296875,16,1,threshold,20,733.839599609375,1182.6666666666667,0.6204957155659878,1.6116146734193737,1094.295654296875,0.0,18836.875,11887.872219085693,False,15,long,auto,auto
4,90.50146484375,0.50146484375,90.0,908.77001953125,67.031982421875,1.00341796875,0.0,1066.3034915924072,1066.303466796875,16,1,threshold,20,734.617431640625,1182.6666666666667,0.6211534089407764,1.6099082539130756,1066.303466796875,0.0,18516.875,11663.69104385376,False,15,long,auto,auto
