utterance_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
l-020,L1,B,tonal_distortion,none,
l-021,L1,A,none,tonal_distortion,
m-020,L1,equivalent,none,none,
m-021,L1,equivalent,none,none,
s-020,L1,equivalent,none,none,
s-021,L1,equivalent,none,none,
s-022,L1,equivalent,none,none,
