utterance_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
l-020,L1,B,tonal_distortion,click_or_discontinuity,A had an odd pitch effect at a couple seams while i only detected one click at a single seam on B.
l-021,L1,A,tonal_distortion,click_or_discontinuity,"Distortion on A was minor, clicks and minor tonal distortion on B."
m-020,L1,A,none,tonal_distortion,
m-021,L1,equivalent,none,none,
s-020,L1,equivalent,none,none,
s-021,L1,equivalent,none,none,
s-022,L1,equivalent,none,none,
