metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788363830681.7605,,,,
ttfa_talker_thread_start_ms,1788363830683.267,,,,
ttfa_first_decode_step_ms,1788363834364.1052,,,,
ttfa_first_chunk_emit_ms,1788363835027.0898,,,,
ttfa_first_decode_complete_ms,1788363835198.1904,no-registry,0,,
progressive_chunk_emit_ms,1788363835198.696,,0,,
first_chunk_latency_ms,4516.935586929321,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788363853281.0479,2b321215-3472-4597-a3dd-1c73389effe4,,,
ttfa_talker_thread_start_ms,1788363853283.551,2b321215-3472-4597-a3dd-1c73389effe4,,,
ttfa_first_decode_step_ms,1788363853501.311,2b321215-3472-4597-a3dd-1c73389effe4,,,
ttfa_first_chunk_emit_ms,1788363854875.0222,2b321215-3472-4597-a3dd-1c73389effe4,,,
ttfa_first_decode_complete_ms,1788363855024.355,2b321215-3472-4597-a3dd-1c73389effe4,0,,
progressive_chunk_emit_ms,1788363855024.355,2b321215-3472-4597-a3dd-1c73389effe4,0,,
ttfa_first_playback_write_ms,1788363855045.8481,2b321215-3472-4597-a3dd-1c73389effe4,0,,
progressive_chunk_emit_ms,1788363856127.2976,2b321215-3472-4597-a3dd-1c73389effe4,1,,
progressive_chunk_playback_arrival_ms,1788363857110.0566,2b321215-3472-4597-a3dd-1c73389effe4,0,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,0,,
progressive_chunk_emit_ms,1788363857337.2239,2b321215-3472-4597-a3dd-1c73389effe4,2,,
progressive_chunk_emit_ms,1788363858562.3438,2b321215-3472-4597-a3dd-1c73389effe4,3,,
progressive_chunk_playback_arrival_ms,1788363859160.067,2b321215-3472-4597-a3dd-1c73389effe4,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,1,,
progressive_chunk_emit_ms,1788363859813.0378,2b321215-3472-4597-a3dd-1c73389effe4,4,,
progressive_chunk_emit_ms,1788363860997.1118,2b321215-3472-4597-a3dd-1c73389effe4,5,,
progressive_chunk_playback_arrival_ms,1788363861210.2139,2b321215-3472-4597-a3dd-1c73389effe4,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,2,,
progressive_chunk_emit_ms,1788363862174.0574,2b321215-3472-4597-a3dd-1c73389effe4,6,,
progressive_chunk_playback_arrival_ms,1788363863090.63,2b321215-3472-4597-a3dd-1c73389effe4,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,3,,
progressive_chunk_emit_ms,1788363863313.6812,2b321215-3472-4597-a3dd-1c73389effe4,7,,
progressive_chunk_emit_ms,1788363864458.6929,2b321215-3472-4597-a3dd-1c73389effe4,8,,
progressive_chunk_emit_ms,1788363864878.5164,2b321215-3472-4597-a3dd-1c73389effe4,9,,
first_chunk_latency_ms,1743.307113647461,2b321215-3472-4597-a3dd-1c73389effe4,,,
progressive_chunk_playback_arrival_ms,1788363865140.7751,2b321215-3472-4597-a3dd-1c73389effe4,4,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,4,,
progressive_chunk_playback_arrival_ms,1788363867180.13,2b321215-3472-4597-a3dd-1c73389effe4,5,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,5,,
progressive_chunk_playback_arrival_ms,1788363869230.111,2b321215-3472-4597-a3dd-1c73389effe4,6,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,6,,
progressive_chunk_playback_arrival_ms,1788363871110.2827,2b321215-3472-4597-a3dd-1c73389effe4,7,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,7,,
progressive_chunk_playback_arrival_ms,1788363873160.0159,2b321215-3472-4597-a3dd-1c73389effe4,8,False,48000
progressive_chunk_audio_duration_ms,2000.0,2b321215-3472-4597-a3dd-1c73389effe4,8,,
progressive_chunk_playback_arrival_ms,1788363874180.164,2b321215-3472-4597-a3dd-1c73389effe4,9,False,24405
progressive_chunk_audio_duration_ms,1016.875,2b321215-3472-4597-a3dd-1c73389effe4,9,,
