run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,155.011474609375,1.53662109375,153.474853515625,834.775146484375,79.24951171875,1.0869140625,0.0,1069.0360069274902,1069.0361328125,25,1,threshold,15,1069.8145999922417,0.7784671797417104,538.0562744140625,784.5833333333333,0.6857860109366702,1.4581808086667813,1069.0361328125,0.0,19606.875,19297.736406326294,True,10,long,auto,auto
0,87.1865234375,1.002685546875,86.183837890625,682.426025390625,72.6435546875,1.005126953125,0.0,842.2560691833496,842.256103515625,25,1,threshold,15,843.0419000214897,0.7857965058647096,499.5206298828125,784.5833333333333,0.6366699478060277,1.5706725336196754,842.256103515625,0.0,19206.875,12457.806825637817,False,10,long,auto,auto
1,78.60205078125,1.003173828125,77.598876953125,650.33447265625,62.298095703125,1.0615234375,0.0,791.2344932556152,791.234619140625,26,1,threshold,15,791.8752999976277,0.6406808570027351,482.288330078125,784.5833333333333,0.6147063155536379,1.626793111925889,791.234619140625,0.0,19991.458333333332,12358.320474624634,False,10,long,auto,auto
2,83.209228515625,0.5029296875,82.706298828125,645.162109375,63.03369140625,0.0,0.0,791.405200958252,791.405029296875,25,1,threshold,15,791.6694000014104,0.2643707045353949,485.50146484375,784.5833333333333,0.6188016546070102,1.6160267067079548,791.405029296875,0.0,19606.875,12213.9573097229,False,10,long,auto,auto
3,88.1376953125,1.499755859375,86.637939453125,675.30078125,65.423583984375,0.0,0.0,828.8619518280029,828.862060546875,24,1,threshold,15,828.791200008709,-0.07086053816601634,487.7607421875,784.5833333333333,0.621681243361657,1.6085413717689723,828.862060546875,0.0,18822.291666666668,11945.77407836914,False,10,long,auto,auto
4,96.21923828125,1.506591796875,94.712646484375,708.895263671875,66.3017578125,0.0,0.0,871.4163303375244,871.416259765625,25,1,threshold,15,871.8383000232279,0.42204025760293007,480.337158203125,784.5833333333333,0.6122194262812003,1.6334012889370275,871.416259765625,0.0,19526.875,12318.67790222168,False,10,long,auto,auto
