metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788280528177.2874,,,,
ttfa_talker_thread_start_ms,1788280528178.8013,,,,
ttfa_first_decode_step_ms,1788280531755.4932,,,,
ttfa_first_chunk_emit_ms,1788280532549.4802,,,,
ttfa_first_decode_complete_ms,1788280532725.433,no-registry,0,,
progressive_chunk_emit_ms,1788280532726.4365,,0,,
first_chunk_latency_ms,4549.14927482605,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788280535537.4385,2149504a-04b2-4f4a-b712-9453462d099f,,,
ttfa_talker_thread_start_ms,1788280535539.949,2149504a-04b2-4f4a-b712-9453462d099f,,,
ttfa_first_decode_step_ms,1788280535625.4497,2149504a-04b2-4f4a-b712-9453462d099f,,,
ttfa_first_chunk_emit_ms,1788280536772.934,2149504a-04b2-4f4a-b712-9453462d099f,,,
ttfa_first_decode_complete_ms,1788280536862.1326,2149504a-04b2-4f4a-b712-9453462d099f,0,,
progressive_chunk_emit_ms,1788280536862.636,2149504a-04b2-4f4a-b712-9453462d099f,0,,
ttfa_first_playback_write_ms,1788280536881.52,2149504a-04b2-4f4a-b712-9453462d099f,0,,
first_chunk_latency_ms,1325.197696685791,2149504a-04b2-4f4a-b712-9453462d099f,,,
progressive_chunk_playback_arrival_ms,1788280539116.5378,2149504a-04b2-4f4a-b712-9453462d099f,0,False,49365
progressive_chunk_audio_duration_ms,2056.875,2149504a-04b2-4f4a-b712-9453462d099f,0,,
