run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,82.4462890625,1.508056640625,80.938232421875,1134.1357421875,34.659423828125,0.5029296875,0.0,1251.2414455413818,1251.241455078125,1,1,residual_flush,26,1251.4037000364624,0.16224495833739638,,,,,1251.241455078125,0.0,2056.875,1256.7822933197021,True,25,short,auto,auto
0,80.0322265625,0.503662109375,79.528564453125,1334.433837890625,63.8369140625,0.0,0.0,1478.3029556274414,1478.302978515625,2,1,threshold,30,1478.2701999647543,-0.03277855087071657,,,,,1478.302978515625,0.0,2597.583333333333,1629.561185836792,False,25,short,auto,auto
1,83.743408203125,0.50244140625,83.240966796875,1264.9541015625,33.532958984375,0.0,0.0,1382.230520248413,1382.23046875,1,1,residual_flush,29,1382.623900019098,0.39343126909807324,,,,,1382.23046875,0.0,2296.875,1388.2527351379395,False,25,short,auto,auto
2,83.051025390625,1.002197265625,82.048828125,1279.372314453125,33.1298828125,0.0,0.0,1395.5533504486084,1395.55322265625,1,1,residual_flush,29,1395.6900999764912,0.13687732024118304,,,,,1395.55322265625,0.0,2296.875,1401.5114307403564,False,25,short,auto,auto
3,82.121826171875,1.0146484375,81.107177734375,1338.819091796875,61.439208984375,0.504150390625,0.0,1482.3801517486572,1482.380126953125,2,1,threshold,30,1482.7162999426946,0.3361729895696044,,,,,1482.380126953125,0.0,2597.583333333333,1627.772569656372,False,25,short,auto,auto
4,81.42578125,1.52197265625,79.90380859375,1294.74951171875,33.2509765625,0.0,0.0,1409.426212310791,1409.42626953125,1,1,residual_flush,29,1409.566199989058,0.13993045780807734,,,,,1409.42626953125,0.0,2296.875,1416.0487651824951,False,25,short,auto,auto
