run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,82.589599609375,1.010986328125,81.57861328125,1336.4560546875,65.509521484375,1.002197265625,0.0,1484.5552444458008,1484.55517578125,10,1,threshold,30,1485.3188999695703,0.7637241883203387,1185.552978515625,1980.7083333333333,0.5985500028267455,1.670704193930907,1484.55517578125,0.0,18683.25,11300.180912017822,True,25,long,auto,auto
0,82.125,1.00244140625,81.12255859375,1352.440185546875,62.46337890625,0.0,0.0,1497.0285892486572,1497.028564453125,10,1,threshold,30,1497.4324999493547,0.4039354962296784,1166.681884765625,1980.7083333333333,0.5890225557854935,1.6977278546938595,1497.028564453125,0.0,19403.25,11614.890098571777,False,25,long,auto,auto
1,81.666259765625,1.506591796875,80.15966796875,1348.609130859375,63.447509765625,0.0,0.0,1493.722915649414,1493.722900390625,10,1,threshold,30,1493.6616999912076,-0.06120039941743016,1165.96240234375,1980.7083333333333,0.5886593107737131,1.698775474536596,1493.722900390625,0.0,18843.25,11225.414276123047,False,25,long,auto,auto
2,82.8076171875,0.50390625,82.3037109375,1345.61376953125,62.81005859375,0.0,0.0,1491.2314414978027,1491.2314453125,10,1,threshold,30,1491.1444999743253,-0.08694533817470074,1158.24365234375,1980.7083333333333,0.5847623463039316,1.7100964286100726,1491.2314453125,0.0,19323.25,11618.911981582642,False,25,long,auto,auto
3,81.89208984375,0.504150390625,81.387939453125,1336.267578125,67.83056640625,1.004150390625,0.0,1485.990285873413,1485.990234375,10,1,threshold,30,1486.4901999826543,0.4999656076543033,1143.4033203125,1980.7083333333333,0.577269909491554,1.7322919202228588,1485.990234375,0.0,18923.25,11116.467714309692,False,25,long,auto,auto
4,85.68505859375,1.001953125,84.68310546875,1317.892578125,64.834716796875,0.503173828125,0.0,1468.4123992919922,1468.412353515625,10,1,threshold,30,1468.7571999966167,0.34484648099169135,1152.640625,1980.7083333333333,0.5819335465006206,1.7184092685726162,1468.412353515625,0.0,19883.25,11672.544717788696,False,25,long,auto,auto
