run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,8751.181640625,4635.30419921875,4115.87744140625,1092.62255859375,391.942138671875,0.504150390625,0.0,10235.746383666992,10235.746337890625,24,1,threshold,15,730.473876953125,784.5833333333333,0.9310341501261286,1.074074457810735,10235.746337890625,0.0,19062.291666666668,29969.684600830078,True,10,long,auto,auto
0,107.188232421875,1.017578125,106.170654296875,845.57763671875,80.071044921875,0.0,0.0,1032.8369140625,1032.8369140625,25,1,threshold,15,691.2005615234375,784.5833333333333,0.8809778797962029,1.1351022800156236,1032.8369140625,0.0,19446.875,21216.110944747925,False,10,long,auto,auto
1,106.32763671875,1.00244140625,105.3251953125,833.387939453125,105.67138671875,0.0,0.0,1045.3870296478271,1045.386962890625,22,1,threshold,15,751.509765625,784.5833333333333,0.957845691715348,1.044009498240954,1045.386962890625,0.0,17493.125000000004,18419.758319854736,False,10,long,auto,auto
2,108.550048828125,0.50390625,108.046142578125,864.203125,95.5146484375,0.5029296875,0.0,1068.267822265625,1068.267822265625,25,1,threshold,15,753.739990234375,784.5833333333333,0.9606882509625598,1.0409204015954727,1068.267822265625,0.0,19766.875,21360.238790512085,False,10,long,auto,auto
3,110.586669921875,0.504150390625,110.08251953125,839.189208984375,110.229248046875,0.0,0.0,1060.0051879882812,1060.005126953125,24,1,threshold,15,691.55908203125,784.5833333333333,0.8814348363648434,1.134513816272721,1060.005126953125,0.0,18582.291666666668,19870.197534561157,False,10,long,auto,auto
4,198.744873046875,1.003173828125,197.74169921875,1525.335205078125,115.15087890625,0.504150390625,0.0,1839.231014251709,1839.23095703125,24,1,threshold,15,1037.94384765625,784.5833333333333,1.3229236507567712,0.7559015211708972,1839.23095703125,0.0,18822.291666666668,22255.378007888794,False,10,long,auto,auto
